日期,星期几,天气,降水量,事件,景区平均搜索指数（前一天）,截至前一天历史平均搜索指数
2019/1/1,周二,晴~多云,0,元旦节,520.16,520.16
2019/1/2,周三,多云,0,,545.87,533.02
2019/1/3,周四,霾,0,,470.68,512.24
2019/1/4,周五,晴,0,,465.03,500.44
2019/1/5,周六,多云,0,,482.35,496.82
2019/1/6,周日,多云,0,,524.85,501.49
2019/1/7,周一,多云,0,,518.25,503.88
2019/1/8,周二,晴,0,,475.63,500.35
2019/1/9,周三,晴,0,,476.03,497.65
2019/1/10,周四,晴~多云,0,,475.49,495.43
2019/1/11,周五,霾,0,,490.37,494.97
2019/1/12,周六,霾,0,,502.32,495.59
2019/1/13,周日,晴,0,,520.56,497.51
2019/1/14,周一,霾~晴,0,,532,499.97
2019/1/15,周二,晴,0,,493.41,499.53
2019/1/16,周三,晴,0,,462.59,497.22
2019/1/17,周四,晴,0,,476.95,496.03
2019/1/18,周五,霾~多云,0,,511.46,496.89
2019/1/19,周六,多云,0,,532.94,498.79
2019/1/20,周日,晴,0,,551.33,501.41
2019/1/21,周一,晴,0,第十三届首都高校大学生滑雪比赛,574.9,504.91
2019/1/22,周二,晴,0,第十三届首都高校大学生滑雪比赛,562.63,507.54
2019/1/23,周三,晴,0,,543.7,509.11
2019/1/24,周四,多云,0,,560.46,511.25
2019/1/25,周五,晴,0,,551.46,512.86
2019/1/26,周六,晴~多云,0,,570.95,515.09
2019/1/27,周日,多云~晴,0,,595.19,518.06
2019/1/28,周一,晴~多云,0,,572.75,520.01
2019/1/29,周二,多云,0,,590.8,522.45
2019/1/30,周三,多云,0,,588.48,524.65
2019/1/31,周四,多云,0,,577.81,526.37
2019/2/1,周五,晴~多云,0,,571.77,527.79
2019/2/2,周六,多云,0,,599.72,529.97
2019/2/3,周日,多云~晴,0,,653.13,533.59
2019/2/4,周一,多云~晴,0,春节,707.04,538.54
2019/2/5,周二,晴~霾,0,春节,598.42,540.21
2019/2/6,周三,霾,0,春节,783.24,546.78
2019/2/7,周四,多云,0,春节,1118.7,561.83
2019/2/8,周五,多云,0,春节,1128.71,576.36
2019/2/9,周六,多云,0,春节,1146.2,590.61
2019/2/10,周日,多云,0,春节,1140.99,604.03
2019/2/11,周一,多云,0,,869.46,610.35
2019/2/12,周二,小雪~多云,10,,811.22,615.02
2019/2/13,周三,多云,0,,859.39,620.58
2019/2/14,周四,小雪~多云,2,情人节,794.81,624.45
2019/2/15,周五,晴,0,,736.22,626.88
2019/2/16,周六,晴,0,,756.38,629.63
2019/2/17,周日,晴~多云,0,,755.85,632.26
2019/2/18,周一,阴,0,,1124.29,642.3
2019/2/19,周二,多云~晴,0,元宵节,1306.71,655.59
2019/2/20,周三,晴,0,,1003.9,662.42
2019/2/21,周四,晴~多云,0,,754.06,664.18
2019/2/22,周五,霾,0,,697.32,664.81
2019/2/23,周六,霾,0,火箭少女101-2019飞行演唱会,709.7,665.64
2019/2/24,周日,晴~多云,0,,706.73,666.39
2019/2/25,周一,多云,0,,675.13,666.54
2019/2/26,周二,多云,0,,616.35,665.66
2019/2/27,周三,晴,0,,596.95,664.48
2019/2/28,周四,晴,0,,622.24,663.76
2019/3/1,周五,晴~多云,0,2019国际雪联中国北京越野滑雪积分大奖赛,652.65,663.58
2019/3/2,周六,霾,0,2019国际雪联中国北京越野滑雪积分大奖赛,698.48,664.15
2019/3/3,周日,霾,0,2019国际雪联中国北京越野滑雪积分大奖赛,720.82,665.06
2019/3/4,周一,多云,0,2019国际雪联中国北京越野滑雪积分大奖赛,668.24,665.11
2019/3/5,周二,多云~晴,0,,635.9,664.66
2019/3/6,周三,晴,0,,642.34,664.31
2019/3/7,周四,晴,0,,645.82,664.03
2019/3/8,周五,多云,0,国际妇女节,666.72,664.07
2019/3/9,周六,阴~多云,0,,689.05,664.44
2019/3/10,周日,小雨~多云,3,,712.81,665.14
2019/3/11,周一,晴,0,,677.97,665.33
2019/3/12,周二,晴,0,植树节,643.86,665.02
2019/3/13,周三,多云,0,,638.13,664.65
2019/3/14,周四,多云,0,,666.43,664.67
2019/3/15,周五,多云,0,,694.67,665.08
2019/3/16,周六,晴,0,,791.72,666.77
2019/3/17,周日,晴,0,,869,669.43
2019/3/18,周一,多云~晴,0,,802.47,671.16
2019/3/19,周二,多云,0,,707.43,671.62
2019/3/20,周三,小雨,22,,694.96,671.92
2019/3/21,周四,晴,0,,672.38,671.92
